Time,"Gradients:0","Gradients:1","Gradients:2","Gradients:3","Gradients:4","Gradients:5","Gradients:6","Gradients:7","Gradients:8","Points:0","Points:1","Points:2"
60,0,0,0,0,-0.16089,0,0,0,0,0.005,0.1,0.005
120,0,0,0,0,-0.21855,0,0,0,0,0.005,0.1,0.005
180,0,0,0,0,-0.2577,0,0,0,0,0.005,0.1,0.005
240,0,0,0,0,-0.28668,0,0,0,0,0.005,0.1,0.005
300,0,0,0,0,-0.30518,0,0,0,0,0.005,0.1,0.005
360,0,0,0,0,-0.31975,0,0,0,0,0.005,0.1,0.005
420,0,0,0,0,-0.32914,0,0,0,0,0.005,0.1,0.005
480,0,0,0,0,-0.33502,0,0,0,0,0.005,0.1,0.005
540,0,0,0,0,-0.33843,0,0,0,0,0.005,0.1,0.005
600,0,0,0,0,-0.34117,0,0,0,0,0.005,0.1,0.005
660,0,0,0,0,-0.34264,0,0,0,0,0.005,0.1,0.005
720,0,0,0,0,-0.34358,0,0,0,0,0.005,0.1,0.005
780,0,0,0,0,-0.34433,0,0,0,0,0.005,0.1,0.005
840,0,0,0,0,-0.34206,0,0,0,0,0.005,0.1,0.005
900,0,0,0,0,-0.33859,0,0,0,0,0.005,0.1,0.005
960,0,0,0,0,-0.33385,0,0,0,0,0.005,0.1,0.005
1020,0,0,0,0,-0.32759,0,0,0,0,0.005,0.1,0.005
1080,0,0,0,0,-0.31921,0,0,0,0,0.005,0.1,0.005
1140,0,0,0,0,-0.30987,0,0,0,0,0.005,0.1,0.005
1200,0,0,0,0,-0.2997,0,0,0,0,0.005,0.1,0.005
1260,0,0,0,0,-0.28883,0,0,0,0,0.005,0.1,0.005
1320,0,0,0,0,-0.2777,0,0,0,0,0.005,0.1,0.005
1380,0,0,0,0,-0.26658,0,0,0,0,0.005,0.1,0.005
1440,0,0,0,0,-0.2554,0,0,0,0,0.005,0.1,0.005
1500,0,0,0,0,-0.24416,0,0,0,0,0.005,0.1,0.005
1560,0,0,0,0,-0.23358,0,0,0,0,0.005,0.1,0.005
1620,0,0,0,0,-0.22385,0,0,0,0,0.005,0.1,0.005
1680,0,0,0,0,-0.21509,0,0,0,0,0.005,0.1,0.005
1740,0,0,0,0,-0.20743,0,0,0,0,0.005,0.1,0.005
1800,0,0,0,0,-0.20073,0,0,0,0,0.005,0.1,0.005
1860,0,0,0,0,-0.19505,0,0,0,0,0.005,0.1,0.005
1920,0,0,0,0,-0.19028,0,0,0,0,0.005,0.1,0.005
1980,0,0,0,0,-0.1864,0,0,0,0,0.005,0.1,0.005
2040,0,0,0,0,-0.1833,0,0,0,0,0.005,0.1,0.005
2100,0,0,0,0,-0.18072,0,0,0,0,0.005,0.1,0.005
2160,0,0,0,0,-0.1783,0,0,0,0,0.005,0.1,0.005
2220,0,0,0,0,-0.17596,0,0,0,0,0.005,0.1,0.005
2280,0,0,0,0,-0.17374,0,0,0,0,0.005,0.1,0.005
2340,0,0,0,0,-0.17159,0,0,0,0,0.005,0.1,0.005
2400,0,0,0,0,-0.16949,0,0,0,0,0.005,0.1,0.005
2460,0,0,0,0,-0.16734,0,0,0,0,0.005,0.1,0.005
2520,0,0,0,0,-0.16509,0,0,0,0,0.005,0.1,0.005
2580,0,0,0,0,-0.16277,0,0,0,0,0.005,0.1,0.005
2640,0,0,0,0,-0.16027,0,0,0,0,0.005,0.1,0.005
2700,0,0,0,0,-0.15757,0,0,0,0,0.005,0.1,0.005
2760,0,0,0,0,-0.15454,0,0,0,0,0.005,0.1,0.005
