"Time"	"convect"	"energy"	"energyRef"
30	4.6414379934096	175347.73654918	133.73654917581
60	4.6414325873493	175487.17806857	273.17806857111
90	4.6414190039387	175626.15518074	412.1551807393
120	4.6413989223766	175764.82698748	550.82698747588
150	4.6413725220661	175903.7135841	689.71358409585
180	4.6413374139847	176042.6675967	828.66759669702
210	4.6412923032707	176181.7251756	967.72517559654
240	4.6412336119139	176320.88024052	1106.8802405189
270	4.6411601206711	176460.10839449	1246.1083944931
300	4.6410688524156	176599.39340684	1385.3934068377
330	4.6409575125599	176738.72115839	1524.7211583914
360	4.6408221555275	176878.08747701	1664.0874770081
390	4.6406604812289	177017.47895574	1803.4789557401
420	4.6404759050357	177156.85137991	1942.8513799085
450	4.6402562182299	177296.17338203	2082.1733820272
480	4.6399990535516	177435.51067358	2221.5106735797
510	4.6397016195441	177574.85719982	2360.8571998194
540	4.6393608033291	177714.21583548	2500.2158354814
570	4.6389715146442	177853.82457177	2639.8245717651
600	4.6385320079269	177993.44602799	2779.4460279859
630	4.6380358619938	178132.72094064	2918.7209406389
660	4.6374780260987	178271.88160222	3057.8816022236
690	4.6368542802672	178410.93465214	3196.9346521432
720	4.6361605678066	178549.88711259	3335.8871125878
750	4.6353918467284	178688.74753171	3474.7475317121
780	4.6345432733269	178827.52735657	3613.5273565746
810	4.6336099819307	178966.23223501	3752.2322350146
840	4.6325871212031	179104.86440596	3890.864405963
870	4.6314693620332	179243.41974793	4029.4197479275
900	4.6302516805847	179381.87287173	4167.872871731
930	4.6289296819665	179520.2352261	4306.2352261038
960	4.6274985209466	179658.53347159	4444.5334715878
990	4.6259529345048	179796.76816751	4582.7681675122
1020	4.6242877180093	179934.92471141	4720.9247114134
1050	4.6224982288453	180072.96367175	4858.9636717459
1080	4.6205804279653	180210.92336284	4996.9233628415
1110	4.6185293410096	180348.81889327	5134.8188932719
1140	4.6163402538582	180486.63667971	5272.6366797088
1170	4.6140084764898	180624.33606767	5410.3360676708
1200	4.6115306624115	180761.93222025	5547.9322202498
1230	4.6089026712142	180899.4560216	5685.4560216034
1260	4.6061199622084	181036.89536205	5822.895362054
1290	4.6031786692667	181174.20806216	5960.2080621586
1320	4.6000760670525	181311.39961692	6097.3996169195
1350	4.5968087870832	181448.50523527	6234.505235273
1380	4.5933732182344	181585.51067081	6371.5106708076
1410	4.5896877966187	181722.40824062	6508.4082406243
1440	4.5858855839505	181859.26154454	6645.2615445444
1470	4.5819139488121	181996.02051756	6782.0205175554
1500	4.5777640777482	182132.66633341	6918.6663334055
1530	4.5734331571508	182269.15533821	7055.1553382099
1560	4.5689199174242	182405.4876831	7191.4876830992
1590	4.5642234645438	182541.69272503	7327.6927250293
1620	4.5593421533669	182677.76196869	7463.7619686911
1650	4.5542746270777	182813.66335828	7599.6633582781
1680	4.549021177822	182949.38351424	7735.3835142421
1710	4.5435812615593	183084.95443862	7870.9544386185
1740	4.5379549541486	183220.37231629	8006.3723162911
1770	4.5321418337251	183355.60290549	8141.6029054864
1800	4.5261428631967	183490.63185808	8276.6318580819
1830	4.5199591431939	183625.49036112	8411.4903611154
1860	4.5135912179601	183760.17378686	8546.1737868624
1890	4.5070399414624	183894.65221675	8680.6522167467
1920	4.5003073115354	184028.90906433	8814.9090643285
1950	4.4933951531783	184162.96819229	8948.9681922873
1980	4.486305153868	184296.83713076	9082.8371307608
2010	4.4790389571728	184430.48387626	9216.4838762635
2040	4.471599150311	184563.88476956	9349.8847695639
2070	4.4639886632335	184697.06698057	9483.0669805743
2100	4.456209728299	184830.03544465	9616.0354446455
2130	4.4482649708157	184962.76843596	9748.7684359553
2160	4.4401573504476	185095.23629112	9881.2362911229
2190	4.4320024295164	185227.44791645	10013.447916446
2220	4.4236393753466	185359.31259076	10145.312590762
2250	4.4150808266823	185490.92678345	10276.926783453
2280	4.4063726698287	185622.2586421	10408.258642095
2310	4.3975188804701	185753.32465294	10539.324652939
2340	4.3885230845171	185884.13804485	10670.138044853
2370	4.3793886308547	186014.69266102	10800.692661022
2400	4.3701192686818	186144.9515118	10930.951511805
2430	4.3607191549098	186274.92055012	11060.920550117
2460	4.3511921789413	186404.62007705	11190.620077046
2490	4.3415420636429	186534.04734506	11320.047345056
2520	4.3317725300286	186663.17096118	11449.170961176
2550	4.3218878333113	186791.98537949	11577.985379493
2580	4.31189198503	186920.51059566	11706.510595663
2610	4.3017887513494	187048.75190209	11834.751902086
2640	4.2915817977437	187176.68482535	11962.68482535
2670	4.2812752200083	187304.28942098	12090.28942098
2700	4.2708730340448	187431.59087202	12217.590872021
2730	4.2603787944952	187558.5948285	12344.594828503
2760	4.2497961170603	187685.28638166	12471.286381656
2790	4.2391285788317	187811.63932846	12597.639328464
2820	4.2283800820526	187937.67162988	12723.671629883
2850	4.2175539410027	188063.39310403	12849.393104026
2880	4.206653381012	188188.80237855	12974.802378545
2910	4.1956816095568	188313.86358266	13099.863582656
2940	4.1846419628868	188438.58745666	13224.587456662
2970	4.1735375201865	188562.99113949	13348.991139489
3000	4.1623710765791	188687.07641524	13473.076415237
3030	4.151145109273	188810.81611151	13596.816111506
3060	4.1398625525902	188934.20061619	13720.200616189
3090	4.1285258526222	189057.25542166	13843.255421661
3120	4.117137146206	189179.98194674	13965.981946738
3150	4.1056984864827	189302.37037489	14088.370374888
3180	4.0942119622756	189424.39200778	14210.392007781
3210	4.0826794878485	189546.07198584	14332.071985836
3240	4.0711023269414	189667.41706915	14453.417069148
3270	4.0594819118715	189788.42298684	14574.422986839
3300	4.0478194121344	189909.0632775	14695.063277501
3330	4.0361160321103	190029.34252622	14815.342526219
3360	4.0243722357331	190149.28149203	14935.281492031
3390	4.0125885657758	190268.87956019	15054.879560193
3420	4.0007652659514	190388.12060403	15174.120604035
3450	3.9889026184894	190506.98487697	15292.98487697
3480	3.9770002633791	190625.49680907	15411.496809066
3510	3.9650575399659	190743.66123223	15529.661232231
3540	3.9530738003978	190861.47488817	15647.474888168
3570	3.9410481471518	190978.91442305	15764.914423048
3600	3.9289794262011	191095.97866613	15881.978666132
3630	3.9168657426863	191212.68558316	15998.685583157
3660	3.9047050490612	191329.03674504	16115.036745042
3690	3.8924950922992	191445.02503029	16231.025030293
3720	3.8802332263528	191560.64387456	16346.643874563
3750	3.8679165281253	191675.88529216	16461.88529216
3780	3.8555412623555	191790.74852252	16576.748522515
3810	3.8431033447186	191905.24149655	16691.241496551
3840	3.8305979739784	192019.36319591	16805.363195913
3870	3.8180196796327	192133.11484759	16919.114847585
3900	3.8053620621074	192246.4961971	17032.496197099
3930	3.7926175452232	192359.488058	17145.488057997
3960	3.7797767649543	192472.22236655	17258.222366555
3990	3.7668232121408	192584.72923732	17370.729237321
4020	3.7537064647158	192696.22252673	17482.222526731
4050	3.7404311004643	192807.34973404	17593.349734038
4080	3.7269969360196	192918.10348194	17704.103481937
4110	3.713392447187	193028.47624031	17814.476240313
4140	3.6996059679448	193138.46088603	17924.460886033
