#[GR27-GR41-charge, Time=1800s]
"GR27.solid"	"GR41.solid"	"T.fluid"	"T.solid"	"U:0"	"U:1"	"U:2"	"convect"	"energy"	"p"	"rho"	"x"
1	0	323	321.52862548828	0	0.079741403460503	0	8467.7001953125	561672000	100055	1.0767199993134	0
1	0	322.80679321289	321.45703125	0	0.079694092273712	0	8050.3364257812	561563264	100054.765625	1.0773539543152	0.0020000000949949
1	0	322.61840820312	321.26049804688	0	0.079647779464722	0	8045.8876953125	561265408	100054.1484375	1.0779764652252	0.0040000001899898
1	0	322.41958618164	320.95855712891	0	0.079598918557167	0	8719.716796875	560807872	100053.5234375	1.0786343812943	0.0060000000521541
1	0	322.19961547852	320.56060791016	0	0.079544864594936	0	9870.0322265625	560204800	100052.90625	1.0793640613556	0.0080000003799796
1	0	321.94909667969	320.06903076172	0	0.079483270645142	0	11386.306640625	559459968	100052.28125	1.0801973342896	0.0099999997764826
1	0	321.65966796875	319.48150634766	0	0.079412080347538	0	13231.952148438	558569728	100051.65625	1.0811624526978	0.012000000104308
1	0	321.32357788086	318.79211425781	0	0.07932935655117	0	15400.123046875	557525120	100051.0390625	1.0822867155075	0.014000000432134
1	0	320.93301391602	317.99224853516	0	0.079233169555664	0	17900.970703125	556313088	100050.421875	1.0835971832275	0.016000000759959
1	0	320.47991943359	317.07098388672	0	0.079121530056	0	20754.81640625	554917120	100049.8046875	1.0851225852966	0.018000001087785
1	0	319.95562744141	316.01516723633	0	0.078992277383804	0	23990.255859375	553317248	100049.1875	1.0868939161301	0.019999999552965
1	0	319.35083007812	314.80969238281	0	0.078843116760254	0	27643.65625	551490560	100048.578125	1.0889456272125	0.021999999880791
1	0	318.65521240234	313.43713378906	0	0.078671492636204	0	31758.46875	549410816	100047.96875	1.0913163423538	0.024000000208616
1	0	317.85729980469	311.87796020508	0	0.078474573791027	0	36385.1640625	547048192	100047.359375	1.0940492153168	0.026000000536442
1	0	316.94454956055	310.10986328125	0	0.078249238431454	0	41582.84375	544369024	100046.75	1.0971933603287	0.028000000864267
1	0	315.90270996094	308.10736083984	0	0.077991999685764	0	47430.1171875	541334656	100046.1484375	1.1008054018021	0.030000001192093
1	0	314.71624755859	305.84799194336	0	0.077699109911919	0	54009.7109375	537911040	100045.546875	1.1049489974976	0.032000001519918
1	0	313.36859130859	303.30520629883	0	0.077366426587105	0	61591.171875	534058048	100044.953125	1.1096946001053	0.034000001847744
1	0	311.85845947266	300.85418701172	0	0.07700065523386	0	68330.546875	530037056	100044.359375	1.115061879158	0.03600000217557
1	0	310.39764404297	300.40863037109	0	0.076641485095024	0	59699.328125	525242752	100043.7734375	1.1203029155731	0.037999998778105
1	0	309.08319091797	300.15924072266	0	0.076317116618156	0	53359.015625	520322624	100043.1875	1.1250604391098	0.03999999910593
1	0	307.90759277344	299.92492675781	0	0.076027072966099	0	47744.30078125	515792896	100042.609375	1.12934923172	0.041999999433756
1	0	306.85516357422	299.70611572266	0	0.075767487287521	0	42763.96484375	511693184	100042.03125	1.1332157850266	0.043999999761581
1	0	305.91201782227	299.50198364258	0	0.075534895062447	0	38347.83984375	508018752	100041.46875	1.1367030143738	0.046000000089407
1	0	305.06573486328	299.31127929688	0	0.075326234102249	0	34430.390625	504742432	100040.890625	1.1398497819901	0.048000000417233
1	0	304.30541992188	299.13265991211	0	0.075138799846172	0	30954.107421875	501828864	100040.328125	1.1426911354065	0.050000000745058
1	0	303.6213684082	298.96487426758	0	0.074970215559006	0	27868.72265625	499240960	100039.765625	1.1452590227127	0.052000001072884
1	0	303.00503540039	298.80682373047	0	0.07481836527586	0	25129.84765625	496943232	100039.203125	1.1475820541382	0.054000001400709
1	0	302.44882202148	298.65740966797	0	0.074681363999844	0	22698.17578125	494902720	100038.640625	1.1496858596802	0.056000001728535
1	0	301.94598388672	298.51586914062	0	0.074557542800903	0	20538.87890625	493089760	100038.078125	1.151594042778	0.05800000205636
1	0	301.49057006836	298.38125610352	0	0.074445441365242	0	18621.1328125	491477600	100037.5234375	1.1533272266388	0.060000002384186
1	0	301.07723999023	298.25286865234	0	0.074343726038933	0	16917.689453125	490042560	100036.96875	1.154904127121	0.062000002712011
1	0	300.70129394531	298.13009643555	0	0.074251264333725	0	15404.498046875	488763712	100036.40625	1.1563415527344	0.064000003039837
1	0	300.35858154297	298.01223754883	0	0.074166998267174	0	14060.370117188	487622400	100035.859375	1.1576545238495	0.065999999642372
1	0	300.04537963867	297.89874267578	0	0.074090033769608	0	12866.693359375	486602272	100035.3046875	1.1588563919067	0.068000003695488
1	0	299.75836181641	297.78897094727	0	0.074019536375999	0	11807.166992188	485688896	100034.75	1.1599595546722	0.070000000298023
1	0	299.49462890625	297.68243408203	0	0.073954775929451	0	10867.579101562	484869376	100034.203125	1.1609747409821	0.072000004351139
1	0	299.25146484375	297.57846069336	0	0.073895111680031	0	10035.649414062	484132416	100033.6484375	1.1619117259979	0.074000000953674
1	0	299.02648925781	297.47650146484	0	0.073839947581291	0	9300.87109375	483467904	100033.09375	1.1627793312073	0.07599999755621
1	0	298.81762695312	297.37585449219	0	0.073788747191429	0	8654.4716796875	482866784	100032.546875	1.1635857820511	0.078000001609325
1	0	298.62283325195	297.27575683594	0	0.073741033673286	0	8089.408203125	482320896	100032	1.164338350296	0.079999998211861
1	0	298.44030761719	297.17520141602	0	0.073696337640285	0	7600.501953125	481822784	100031.453125	1.1650440692902	0.082000002264977
1	0	298.26831054688	297.07302856445	0	0.073654249310493	0	7184.7446289062	481365376	100030.90625	1.1657094955444	0.083999998867512
1	0	298.10516357422	296.96762084961	0	0.073614329099655	0	6841.9130859375	480941888	100030.359375	1.1663410663605	0.086000002920628
1	0	297.94912719727	296.85668945312	0	0.073576167225838	0	6575.7490234375	480545600	100029.8125	1.1669455766678	0.087999999523163
1	0	297.79833984375	296.73675537109	0	0.073539286851883	0	6396.7705078125	480169280	100029.265625	1.1675300598145	0.090000003576279
1	0	297.65063476562	296.60260009766	0	0.073503121733665	0	6305.2275390625	479804864	100028.71875	1.1681030988693	0.092000000178814
1	0	297.50274658203	296.44564819336	0	0.073466911911964	0	6335.3481445312	479442656	100028.171875	1.1686773300171	0.09400000423193
1	0	297.35089111328	296.25357055664	0	0.073429688811302	0	6581.513671875	479070080	100027.625	1.1692678928375	0.096000000834465
1	0	297.19018554688	296.01611328125	0	0.073390319943428	0	7079.37109375	478670144	100027.078125	1.1698937416077	0.098000004887581
